Line #,Word
123,κλυτὰ
123,δῶρα
123,περὶ
123,κνήμῃσιν
123,ἔθηκε
124,δεύτερον
124,αὖ
124,θώρηκα
124,περὶ
124,στήθεσσιν
124,ἔδυνε
125,καλὸν
125,χρύσειον
125,πολυδαίδαλον
125,ὅν
125,οἱ
125,ἔδωκε
126,Παλλὰς
126,Ἀθηναίη
126,κούρη
126,Διός
126,ὁππότ'
126,ἔμελλε
127,τὸ
127,πρῶτον
127,στονόεντας
127,ἐφορμήσεσθαι
127,ἀέθλους
128,θήκατο
128,δ'
128,ἀμφ'
128,ὤμοισιν
128,ἀρῆς
128,ἀλκτῆρα
128,σίδηρον
129,δεινὸς
129,ἀνήρ
129,κοίλην
129,δὲ
129,περὶ
129,στήθεσσι
129,φαρέτρην
130,κάββαλεν
130,ἐξόπιθεν
130,πολλοὶ
130,δ'
130,ἔντοσθεν
130,ὀιστοὶ
131,ῥιγηλοί
131,θανάτοιο
131,λαθιφθόγγοιο
131,δοτῆρες
132,πρόσθεν
132,μὲν
132,θάνατόν
132,τ'
132,εἶχον
132,καὶ
132,δάκρυσι
132,μῦρον
133,μέσσοι
133,δὲ
133,ξεστοί
133,περιμήκεες
133,αὐτὰρ
133,ὄπισθε
134,μόρφνοιο
134,φλεγύαο
134,καλυπτόμενοι
134,πτερύγεσσιν
135,εἵλετο
135,δ'
135,ὄβριμον
135,ἔγχος
135,ἀκαχμένον
135,αἴθοπι
135,χαλκῷ
136,κρατὶ
136,δ'
136,ἐπ'
136,ἰφθίμῳ
136,κυνέην
136,ἐύτυκτον
136,ἔθηκε
137,δαιδαλέην
137,ἀδάμαντος
137,ἐπὶ
137,κροτάφοις
137,ἀραρυῖαν
138,ἥ
138,τ'
138,εἴρυτο
138,κάρη
138,Ἡρακλῆος
138,θείοιο
139,Χερσί
139,γε
139,μὴν
139,σάκος
139,εἷλε
139,παναίολον
139,οὐδέ
139,τις
139,αὐτὸ
140,οὔτ'
140,ἔρρηξε
140,βαλὼν
140,οὔτ'
140,ἔθλασε
140,θαῦμα
140,ἰδέσθαι
141,πᾶν
141,μὲν
141,γὰρ
141,κύκλῳ
141,τιτάνῳ
141,λευκῷ
141,τ'
141,ἐλέφαντι
142,ἠλέκτρῳ
142,θ'
142,ὑπολαμπὲς
142,ἔην
142,χρυσῷ
142,τε
142,φαεινῷ
143,λαμπόμενον
143,κυάνου
143,δὲ
143,διὰ
143,πτύχες
143,ἠλήλαντο
144,ἐν
144,μέσσῳ
144,δ'
144,ἀδάμαντος
144,ἔην
144,Φόβος
144,οὔ
144,τι
144,φατειός
145,ἔμπαλιν
145,ὄσσοισιν
145,πυρὶ
145,λαμπομένοισι
145,δεδορκώς
146,τοῦ
146,καὶ
146,ὀδόντων
146,μὲν
146,πλῆτο
146,στόμα
146,λευκαθεόντων
147,δεινῶν
147,ἀπλήτων
147,ἐπὶ
147,δὲ
147,βλοσυροῖο
147,μετώπου
148,δεινὴ
148,Ἔρις
148,πεπότητο
148,κορύσσουσα
148,κλόνον
148,ἀνδρῶν
149,σχετλίη
149,ἥ
149,ῥα
149,νόον
149,τε
149,καὶ
149,ἐκ
149,φρένας
149,εἵλετο
149,φωτῶν
150,οἵτινες
150,ἀντιβίην
150,πόλεμον
150,Διὸς
150,υἷι
150,φέροιεν
151,τῶν
151,καὶ
151,ψυχαὶ
151,μὲν
151,χθόνα
151,δύνουσ'
151,Ἄιδος
151,εἴσω
152,αὐτῶν
152,ὀστέα
152,δέ
152,σφι
152,περὶ
152,ῥινοῖο
152,σαπείσης
153,Σειρίου
153,ἀζαλέοιο
153,κελαινῇ
153,πύθεται
153,αἴῃ
154,Ἐν
154,δὲ
154,Προΐωξίς
154,τε
154,Παλίωξίς
154,τε
154,τέτυκτο
155,ἐν
155,δ'
155,Ὅμαδός
155,τε
155,Φόνος
155,τ'
155,Ἀνδροκτασίη
155,τε
155,δεδήει
156,ἐν
156,δ'
156,Ἔρις
156,ἐν
156,δὲ
156,Κυδοιμὸς
156,ἐθύνεον
156,ἐν
156,δ'
156,ὀλοὴ
156,Κὴρ
157,ἄλλον
157,ζωὸν
157,ἔχουσα
157,νεούτατον
157,ἄλλον
157,ἄουτον
158,ἄλλον
158,τεθνηῶτα
158,κατὰ
158,μόθον
158,ἕλκε
158,ποδοῖιν
159,εἷμα
159,δ'
159,ἔχ'
159,ἀμφ'
159,ὤμοισι
159,δαφοινεὸν
159,αἵματι
159,φωτῶν
160,δεινὸν
160,δερκομένη
160,καναχῇσί
160,τε
160,βεβρυχυῖα
161,Ἐν
161,δ'
161,ὀφίων
161,κεφαλαὶ
161,δεινῶν
161,ἔσαν
161,οὔ
161,τι
161,φατειῶν
162,δώδεκα
162,ταὶ
162,φοβέεσκον
162,ἐπὶ
162,χθονὶ
162,φῦλ'
162,ἀνθρώπων
163,οἵτινες
163,ἀντιβίην
163,πόλεμον
163,Διὸς
163,υἷι
163,φέροιεν
164,τῶν
164,καὶ
164,ὀδόντων
164,μὲν
164,καναχὴ
164,πέλεν
164,εὖτε
164,μάχοιτο
165,Ἀμφιτρυωνιάδης
165,τὰ
165,δ'
165,ἐδαίετο
165,θαυματὰ
165,ἔργα
166,στίγματα
166,δ'
166,ὣς
166,ἐπέφαντο
166,ἰδεῖν
166,δεινοῖσι
166,δράκουσι
167,κυάνεοι
167,κατὰ
167,νῶτα
167,μελάνθησαν
167,δὲ
167,γένεια
168,Ἐν
168,δὲ
168,συῶν
168,ἀγέλαι
168,χλούνων
168,ἔσαν
168,ἠδὲ
168,λεόντων
169,ἐς
169,σφέας
169,δερκομένων
169,κοτεόντων
169,θ'
169,ἱεμένων
169,τε
170,τῶν
170,καὶ
170,ὁμιληδὸν
170,στίχες
170,ἤισαν
170,οὐδέ
170,νυ
170,τώ
170,γε
171,οὐδέτεροι
171,τρεέτην
171,φρῖσσόν
171,γε
171,μὲν
171,αὐχένας
171,ἄμφω
172,ἤδη
172,γάρ
172,σφιν
172,ἔκειτο
172,μέγας
172,λῖς
172,ἀμφὶ
172,δὲ
172,κάπροι
173,δοιοί
173,ἀπουράμενοι
173,ψυχάς
173,κατὰ
173,δέ
173,σφι
173,κελαινὸν
174,αἷμ'
174,ἀπελείβετ'
174,ἔραζ'
174,οἳ
174,δ'
174,αὐχένας
174,ἐξεριπόντες
175,κείατο
175,τεθνηῶτες
175,ὑπὸ
175,βλοσυροῖσι
175,λέουσιν
176,τοὶ
176,δ'
